117;"CAFFE' CRUDO, in grani";11,20;6,70;13,10;0,00;49,50;190,00
118;"CAFFE' DECAFFEINATO, in tazza";0,40;0,60;-2,00;0,00;0,00;4,00
119;"CAFFE' DECAFFEINATO, TOSTATO, MACINATO";10,40;28,50;15,40;0,00;-3,00;287,00
120;"CAFFE' MOKA, in tazza";0,40;0,60;-2,00;0,00;0,00;4,00
121;"CAFFE' SOLUBILE, DECAFFEINATO, in polvere";13,90;42,60;0,20;0,00;0,00;224,00
122;"CAFFE' SOLUBILE, DECAFFEINATO, in tazza";0,00;-2,00;-2,00;0,00;0,00;-2,00
123;"CAFFE' SOLUBILE, in polvere";20,40;41,10;-2,00;0,00;0,00;223,00
124;"CAFFE' SOLUBILE, in tazza";0,00;-2,00;-2,00;0,00;0,00;-2,00
125;"CAFFE' TOSTATO, MACINATO";10,40;28,50;15,40;0,00;-3,00;287,00
126;"CALAMARO";12,60;0,60;1,70;222,00;0,00;68,00
127;"CALAMARO SURGELATO";13,50;1,00;1,40;200,00;0,00;70,00
128;"CAMEMBERT";20,90;-2,00;23,70;75,00;0,00;297,00
129;"CANDITI";0,50;75,00;0,00;0,00;4,50;283,00
130;"CANNELLA";3,90;55,50;3,20;0,00;24,40;252,00
131;"CANNOLI ALLA CREMA";6,20;42,20;20,70;189,00;1,10;369,00
132;"CAPOCOLLO";20,80;1,40;40,20;66,00;0,00;450,00
133;"CAPPERI SOTT'ACETO";2,60;2,10;0,10;0,00;1,50;20,00
134;"CAPRETTO";19,20;0,00;5,00;56,00;0,00;122,00
135;"CAPRIOLO, COSCIA";22,20;0,00;1,60;50,00;0,00;103,00
136;"CAPRIOLO, SCHIENA";22,40;0,60;3,60;85,00;0,00;122,00
137;"CARAMELLE ALLA FRUTTA";2,80;84,20;0,00;0,00;0,00;327,00
138;"CARAMELLE ALLA MENTA";0,50;102,70;0,70;0,00;0,00;393,00
139;"CARAMELLE DURE";-2,00;91,60;-2,00;0,00;0,00;343,00
140;"CARAMELLE MORBIDE, MOU";2,10;71,10;17,20;17,00;0,00;430,00
141;"CARCIOFI";2,70;2,50;0,20;0,00;5,50;22,00
142;"CARCIOFI SURGELATI";2,60;3,90;0,40;0,00;3,90;38,00
143;"CARCIOFINI SOTT'ACETO";2,90;2,70;0,20;0,00;5,50;18,00
144;"CARCIOFINI SOTT'OLIO";1,80;2,60;5,70;0,00;3,30;68,00
145;"CARDI";0,60;1,70;0,10;0,00;1,50;10,00
146;"CAROTE";1,10;7,60;0,00;0,00;3,10;33,00
147;"CARPA";18,90;0,00;7,10;70,00;0,00;140,00
148;"CASTAGNE";3,50;42,40;1,80;0,00;9,00;189,00
149;"CASTAGNE, secche";4,70;80,90;3,00;0,00;13,10;349,00
150;"CASTRATO , CARNE SEMIGRASSA";16,80;0,00;17,80;77,00;0,00;227,00
151;"CASTRATO, CARNE GRASSA";16,50;0,00;29,50;76,00;0,00;332,00
152;"CASTRATO, CARNE MAGRA";17,00;0,00;6,00;71,00;0,00;122,00
153;"CAVALLO";21,70;0,50;2,70;52,00;0,00;113,00
154;"CAVALLO, CUORE";18,70;0,60;7,70;150,00;0,00;146,00
155;"CAVALLO, FEGATO";22,40;5,30;4,00;300,00;0,00;145,00
156;"CAVIALE";18,90;1,90;18,80;588,00;0,00;252,00
157;"CAVOLFIORE";3,20;2,70;0,20;0,00;2,40;25,00
158;"CAVOLI DI BRUXELLES";4,20;4,30;0,50;0,00;5,20;37,00
159;"CAVOLO BROCCOLO VERDE RAMOSO";3,40;2,00;0,30;0,00;3,10;24,00
160;"CAVOLO CAPPUCCIO ROSSO";1,90;2,70;0,20;0,00;1,00;20,00
161;"CAVOLO CAPPUCCIO VERDE";2,10;2,50;0,10;0,00;2,90;19,00
162;"CECI, secchi";21,80;54,30;4,90;0,00;13,80;334,00
163;"CECI IN SCATOLA";4,30;7,20;1,40;0,00;8,10;56,00
164;"CEDRO CANDITO";0,10;49,40;0,20;0,00;3,30;187,00
165;"CEFALO MUGGINE";15,80;0,70;6,80;61,00;0,00;127,00
166;"CEREALI AGGREGATI";10,70;74,90;2,00;0,00;11,60;342,00
167;"CERNIA";17,90;0,60;0,70;37,00;0,00;80,00
168;"CERNIA DI FONDO";15,60;0,60;6,70;36,00;0,00;125,00
169;"CERNIA SURGELATA";17,00;0,60;2,00;37,00;0,00;88,00
170;"CERTOSINO";17,50;-2,00;22,00;90,00;0,00;268,00
171;"CETRIOLI";0,70;1,80;0,50;0,00;0,60;14,00
172;"CETRIOLI IN SALAMOIA";0,90;2,60;0,10;0,00;1,20;14,00
173;"CETRIOLINI SOTT'ACETO";0,90;2,60;0,10;0,00;1,20;14,00
174;"CHAMPAGNE";0,30;1,40;0,00;0,00;0,00;76,00
175;"CHEDDAR";25,00;0,50;31,00;100,00;0,00;381,00
176;"CHERRY BRANDY";-2,00;32,60;0,00;0,00;0,00;255,00
177;"CICCIOLI";40,80;0,00;40,00;70,00;0,00;523,00
178;"CICORIA";1,40;0,70;0,20;0,00;3,60;10,00
179;"CICORIA CATALOGNA";1,80;3,20;0,50;0,00;3,10;24,00
180;"CICORIA DA TAGLIO";1,20;1,70;0,10;0,00;3,60;12,00
181;"CICORIA WITLOOF";0,70;3,20;0,30;0,00;0,60;17,00
182;"CILIEGE";0,80;9,00;0,10;0,00;1,30;38,00
183;"CIOCCOLATO AL LATTE";8,90;50,80;37,60;28,00;0,80;565,00
184;"CIOCCOLATO BIANCO";8,00;58,30;30,90;23,00;0,80;529,00
185;"CIOCCOLATO CON NOCCIOLE";9,30;45,90;40,10;25,00;1,40;571,00
186;"CIOCCOLATO FONDENTE";5,80;56,70;34,00;0,00;1,40;542,00
187;"CIOCCOLATO GIANDUIA";13,10;52,70;28,80;0,00;2,50;509,00
188;"CIPOLLE";1,00;5,70;0,10;0,00;1,10;26,00
189;"CIPOLLE, secche";10,20;68,60;1,70;0,00;13,00;313,00
190;"CIPOLLINE";1,30;8,50;0,10;0,00;1,70;38,00
191;"CIPOLLINE SOTT'ACETO";0,90;4,90;0,20;0,00;1,30;24,00
192;"COCA COLA";-2,00;10,50;0,00;0,00;0,00;39,00
193;"COCOMERO";0,40;3,70;0,00;0,00;0,20;15,00
194;"COGNAC";-2,00;0,90;0,00;0,00;0,00;214,00
195;"CONFETTI";5,20;71,90;16,70;0,00;4,60;441,00
196;"CONIGLIO, CARNE SEMIGRASSA";22,10;0,50;5,30;65,00;0,00;138,00
197;"CONIGLIO, CARNE GRASSA";18,10;0,40;14,40;65,00;0,00;203,00
198;"CONIGLIO, CARNE MAGRA";23,70;0,60;0,60;65,00;0,00;102,00
199;"CONIGLIO, FRATTAGLIE";18,70;0,40;7,90;225,00;0,00;147,00
200;"CONO PER GELATO";10,10;78,80;3,30;0,00;3,00;366,00
201;"COPPA";17,00;0,00;47,30;66,00;0,00;494,00
202;"COPPA PARMA";23,60;0,60;33,50;96,00;0,00;398,00
203;"CORNED BEEF IN SCATOLA";23,20;0,00;14,00;108,00;0,00;219,00
204;"COTECHINO";17,20;0,00;42,30;98,00;0,00;450,00
205;"COTECHINO, cotto";21,10;0,00;24,70;98,00;0,00;306,00
206;"COZZA O MITILO";11,70;3,40;2,70;108,00;0,00;84,00
207;"CRACKERS AL FORMAGGIO";9,80;62,10;25,50;13,00;2,80;502,00
208;"CRACKERS INTEGRALI";8,80;58,10;17,20;0,00;10,50;443,00
209;"CRACKERS NON SALATI";9,50;68,30;16,30;0,00;6,10;440,00
210;"CRACKERS SALATI";9,40;80,10;10,00;0,00;2,80;428,00
211;"CRACKERS SENZA GRASSI";10,50;79,60;1,60;0,00;2,70;393,00
212;"CRACOTTE";10,50;78,80;1,20;0,00;9,20;348,00
213;"CRAUTI";1,50;4,00;0,30;0,00;1,10;24,00
214;"CREMA DI CACAO E NOCCIOLE";6,90;58,10;32,40;2,00;1,20;537,00
215;"CREMA PER PASTICCERIA";4,80;30,70;6,40;68,00;0,20;192,00
216;"CREME CARAMEL";3,00;20,60;2,20;12,00;0,10;109,00
217;"CRESCIONE";3,00;0,40;1,00;0,00;3,00;22,00
218;"CROSTATA CON MARMELLATA";4,90;65,50;8,20;52,00;1,60;339,00
219;"CRUSCA DI GRANO";14,10;26,80;5,50;0,00;39,60;206,00
220;"CUMINO, SEMI";17,80;33,70;22,30;0,00;10,50;375,00
221;"DADI PER BRODO";15,70;5,00;18,70;10,00;0,20;152,00
222;"DADI PER BRODO VEGETALE";13,50;11,60;17,30;0,00;-2,00;253,00
223;"DAIKON";0,80;2,90;0,10;0,00;1,50;15,00
224;"DATTERI, freschi";1,50;31,30;0,10;0,00;3,60;124,00
225;"DATTERI, secchi";2,70;63,10;0,60;0,00;8,70;253,00
226;"DENTICE";16,70;0,70;3,50;70,00;0,00;101,00
227;"DENTICE SURGELATO";17,20;0,70;3,50;70,00;0,00;103,00
228;"DOLCE VERDE";19,10;2,50;20,00;90,00;0,00;266,00
229;"DOLCIFICANTE A BASE DI SACCARINA";0,00;98,60;0,00;0,00;0,00;397,00
